Year,Spawner,Recruit
1980,14283,31569.09072
1981,15084,54703.55423
1982,29956,34799.14394
1983,16757,30861.74471
1984,41962,21850.4758
1985,8254,21687.64316
1986,55424,67617.18602
1987,22744,27552.60627
1988,19434,72770.7861
1989,37080,69641.21501
1990,25466,97683.09456
1991,22956,78766.17056
1992,14933,92840.02264
1993,22827,106550.3839
1994,29813,79065.85997
1995,15841,76295.76478
1996,41484,76981.43627
1997,38642,84475.6672
1998,24952,96516.89705
1999,16157,76611.97253
2000,24492,63827.43979
2001,28208,98779.58773
2002,21502,86656.05227
2003,34034,48149.60964
2004,30645,38721.33316
2005,21528,32647.43189
2006,58454,53244.53433
2007,34575,47436.24439
2008,32485,40148.55062
2009,27787,34295.95191
2010,16771,56489.1162
