Year,Spawner,Recruit
1976,6436.333333,7652.572228
1977,7973.333333,9486.583789
1978,9334.333333,8652.409354
1979,9094.333333,6715.913054
1980,4349.333333,5828.069271
1981,7114.333333,7402.407259
1982,6693,10476.75051
1983,11442,11260.08068
1984,7572,12909.97506
1985,4890,13349.47361
1986,4307,10729.94404
1987,7731,16169.101
1988,12518,18349.12809
1989,9925,14594.42259
1990,13742,10621.06587
1991,12423,12217.83136
1992,8745,16350.61344
1993,12310,8611.665767
1994,10566,15395.66267
1995,11373,10092.88518
1996,8356,5502.9
1997,11869,5484.8795
1998,9066,13273.17248
1999,11297,8703.690092
2000,7879,6264.239878
2001,3149,3028.157938
2002,6574,1536.404703
2003,6965,1014.975325
2004,6805,2364.957576
2005,4611,2477.325758
2006,3351,4266.985632
2007,1609,1615.344828
2008,752,1578.14191
2009,1306,1614.128467
2010,2916,5053.111283
2011,3420,4481.758186
